RetailerBOM,,,,,
-----------,,,,,
,,,,,
Ref Name,Component,Qty,PartNumber,Retailer,Site
C7,ÉWÉÉÉCÉç,1,,,
J1,Alphaplus_TB111-2-2-U-1-2,1,Alphaplus TB111-2-2-U-1-2,,
U1,AZ1086H-3.3,1,,,
PW1,BATTERY+,1,,,
PW2,BATTERY-,1,,,
aircylinder,BOX-10P,1,,,
sensor,BOX-10P,1,,,
CC1,CC,1,,,
CC3,CC,1,,,
C5,EEE1EA100WAR,1,EEE1EA100WAR,,
C6,EEE1EA100WAR,1,EEE1EA100WAR,,
LED1,FA1111C-TR,1,FA1111C-TR,,
IC1,MCP2551-I_P,1,MCP2551-I/P,,
P2,OKL-T/6-W12,1,,,
servo,SGR-3P,1,,,
encoderA,SGR-4P,1,,,
encoderB,SGR-4P,1,,,
encoderC,SGR-4P,1,,,
encoderD,SGR-4P,1,,,
MOTORA,SGR-5P,1,,,
MOTORB,SGR-5P,1,,,
MOTORC,SGR-5P,1,,,
MOTORD,SGR-5P,1,,,
MOTORE,SGR-5P,1,,,
MOTORF,SGR-5P,1,,,
CN12,SGR-8P,1,,,
CONN1,STM32bord,1,,,
SW2,Toggle switch,1,,,
,,28,,,
,,,,,
Ref Name,Value,Qty,size,,
C1,10u,1,1608,,
C2,22u,1,1608,,
R1,,1,1608,,
R2,,1,1608,,
R3,,1,1608,,
R4,,1,1608,,
R5,130,1,1608,,
R6,,1,1608,,
R7,,1,1608,,
R8,,1,1608,,
R9,,1,1608,,
R14,,1,1608,,
,,12,,,
